Date,Open,High,Low,Close
2011-05-18,115.89,116.43,115.23,116.4
2011-05-19,116.39,117.22,116.2,116.86
2011-05-20,116.88,117.17,115.51,115.7
2011-05-23,115.55,115.6,113.85,115.1
2011-05-24,115.12,116.17,114.72,115.65
2011-05-25,115.64,115.78,114.72,115.52
2011-05-26,115.52,116.37,114.46,115
2011-05-27,115,116,114.66,115.68
2011-05-30,115.66,115.68,115.19,115.64
2011-05-31,115.65,117.8,115.64,117.32
2011-06-01,117.29,117.71,115.76,115.89
2011-06-02,115.9,117.33,115.86,117.32
2011-06-03,117.32,117.58,115.91,117.51
2011-06-06,117.39,117.7,116.57,116.78
2011-06-07,116.81,117.9,116.76,117.67
2011-06-08,117.66,117.84,116.28,116.49
2011-06-09,116.5,117.45,115.91,116.64
2011-06-10,116.63,116.85,114.95,115.22
2011-06-13,115.04,115.76,115.01,115.63
2011-06-14,115.65,116.7,115.26,116.3
2011-06-15,116.31,116.49,114.54,114.67
2011-06-16,114.69,114.97,113.5,114.58
2011-06-17,114.56,114.8,113.73,114.52
2011-06-20,114.4,114.98,113.58,114.85
2011-06-21,114.84,115.77,114.65,115.57
2011-06-22,115.6,115.77,115.13,115.14
2011-06-23,115.13,115.39,113.83,114.69
2011-06-24,114.71,114.9,113.77,114.1
2011-06-27,114.15,115.61,113.84,115.6
2011-06-28,115.57,116.67,115.12,116.44
2011-06-29,116.42,117.16,115.89,116.63
2011-06-30,116.62,117.2,116.12,116.75
2011-07-01,116.77,117.48,116.76,117.41
2011-07-04,117.51,117.74,117.03,117.39
2011-07-05,117.37,117.62,116.69,116.96
2011-07-06,116.96,117.03,115.54,115.88
2011-07-07,115.89,116.8,115.53,116.63
2011-07-08,116.62,116.8,114.65,114.98
2011-07-11,114.55,114.76,112.33,112.71
2011-07-12,112.73,112.94,109.58,110.6
2011-07-13,110.55,112.14,110.5,112.02
2011-07-14,112.13,112.69,111.64,111.96
2011-07-15,111.97,112.34,111.36,112.01
2011-07-18,111.71,111.86,110.65,111.5
2011-07-19,111.48,112.31,111.17,112.06
2011-07-20,112.05,112.35,111.67,112.12
2011-07-21,112.17,113.28,111.47,113.26
2011-07-22,113.24,113.56,112.26,112.76
