Date,Open,High,Low,Close
2006-01-17,17.28,17.31,17.154,17.305
2006-01-18,17.269,17.27,17.079,17.132
2006-01-19,17.094,17.201,17.063,17.189
2006-01-20,17.205,17.336,17.119,17.324
2006-01-23,17.403,17.536,17.383,17.514
2006-01-24,17.452,17.55,17.425,17.519
2006-01-25,17.551,17.702,17.543,17.607
2006-01-26,17.573,17.639,17.526,17.603
2006-01-27,17.579,17.621,17.53,17.566
2006-01-30,17.583,17.628,17.453,17.486
2006-01-31,17.466,17.652,17.431,17.642
2006-02-01,17.699,17.73,17.6,17.644
2006-02-02,17.711,17.846,17.685,17.82
2006-02-03,17.823,17.855,17.761,17.779
2006-02-06,17.764,17.764,17.662,17.703
2006-02-07,17.699,17.705,17.526,17.609
2006-02-08,17.568,17.71,17.563,17.662
2006-02-09,17.734,17.762,17.669,17.727
2006-02-10,17.618,17.626,17.315,17.358
2006-02-13,17.34,17.348,17.261,17.288
2006-02-14,17.24,17.251,17.116,17.198
2006-02-15,17.222,17.272,17.12,17.241
2006-02-16,17.224,17.367,17.202,17.33
2006-02-17,17.406,17.557,17.368,17.486
2006-02-20,17.537,17.569,17.494,17.559
2006-02-21,17.552,17.62,17.517,17.598
2006-02-22,17.568,17.597,17.443,17.502
2006-02-23,17.363,17.415,17.331,17.367
2006-02-24,17.296,17.313,17.219,17.233
2006-02-27,17.131,17.172,17.09,17.154
2006-02-28,17.145,17.243,17.118,17.155
2006-03-01,17.186,17.331,17.177,17.245
2006-03-02,17.292,17.376,17.286,17.364
2006-03-03,17.446,17.525,17.415,17.513
2006-03-06,17.628,17.749,17.615,17.728
2006-03-07,17.677,17.713,17.497,17.546
2006-03-08,17.49,17.584,17.484,17.527
2006-03-09,17.535,17.581,17.418,17.538
2006-03-10,17.565,17.791,17.529,17.775
2006-03-13,17.792,17.876,17.766,17.855
2006-03-14,17.82,17.87,17.715,17.724
2006-03-15,17.721,17.786,17.675,17.751
2006-03-16,17.833,17.864,17.749,17.795
2006-03-17,17.783,17.79,17.674,17.72
2006-03-20,17.783,17.829,17.676,17.793
2006-03-21,17.845,17.857,17.768,17.853
2006-03-22,17.826,17.876,17.735,17.771
2006-03-23,17.804,17.804,17.655,17.707
2006-03-24,17.714,17.786,17.7,17.741
2006-03-27,17.621,17.659,17.592,17.628
2006-03-28,17.664,17.857,17.663,17.837
2006-03-29,17.814,17.848,17.736,17.763
2006-03-30,17.715,17.926,17.708,17.905
2006-03-31,17.921,18.001,17.85,17.963
2006-04-03,18.001,18.173,17.981,18.155
2006-04-04,18.154,18.312,18.115,18.303
2006-04-05,18.217,18.335,18.192,18.302
2006-04-06,18.326,18.37,18.209,18.233
2006-04-07,18.245,18.266,18.144,18.205
2006-04-10,18.174,18.302,18.152,18.272
2006-04-11,18.289,18.424,18.285,18.33
2006-04-12,18.335,18.349,18.241,18.277
2006-04-13,18.268,18.297,18.216,18.265
2006-04-14,18.285,18.299,18.24,18.262
2006-04-17,18.32,18.388,18.304,18.35
2006-04-18,18.362,18.435,18.345,18.374
2006-04-19,18.321,18.673,18.321,18.612
2006-04-20,18.692,18.699,18.522,18.559
2006-04-21,18.565,18.619,18.338,18.352
2006-04-24,18.263,18.277,18.038,18.055
2006-04-25,18.078,18.204,18.044,18.2
2006-04-26,18.231,18.37,18.195,18.311
2006-04-27,18.292,18.391,18.263,18.381
2006-04-28,18.399,18.52,18.385,18.495
2006-05-01,18.37,18.429,18.302,18.329
